Category Id,HSN/SAC ,Category,CGST,SGST,IGST
2092,"1702 or
      1704","Palmyra † sugar, † †    mishri, † † batasha, † † bura, † †    sakar, † khadi sakar, † † † harda, † † †    sakariya, † † † gatta, † † † kuliya, † † †    elaichidana, lukumdana, chikkis like puffed rice chikki, peanut    chikki, sesame chikki, til chikki, til patti, til revdi, sugar makhana,
      groundnut sweets, gajak, khaja, khajuli, anarsa",2.50%,2.50%,5%
2093,1801,"Cocoa    beans whole or broken, raw or roasted",2.50%,2.50%,5%
2094,1802,"Cocoa    shells, husks, skins and other cocoa waste",2.50%,2.50%,5%
2095,1803,Cocoa    paste whether or not de-fatted,2.50%,2.50%,5%
2096,1901    20 00,"Mixes    and doughs for the preparation of bread, pastry and
      other baker's wares",2.50%,2.50%,5%
2097,1902,Seviyan    (vermicelli),2.50%,2.50%,5%
2098,1903,"Tapioca † and †    substitutes therefor †    prepared † from starch, † in
      the † form † of †    flakes, † grains, † pearls, †    siftings † or † in †    similar forms. (sabudana)",2.50%,2.50%,5%
2099,1904,"Puffed    rice, commonly known as Muri, flattened or beaten rice, commonly known as    Chira, parched rice, commonly known as khoi, parched paddy or rice coated    with sugar or gur, commonly known as Murki, pre-packaged and labelled Äù;",2.50%,2.50%,5%
2100,1905,Pizza    bread,2.50%,2.50%,5%
2101,"1905    or
      2106","Khakhra,    Plain chapatti or roti",2.50%,2.50%,5%
2102,1905    40 00,"Rusks,    toasted bread and similar toasted products",2.50%,2.50%,5%
2103,2106,"Roasted    Gram, idli/dosa batter, chutney powder",2.50%,2.50%,5%
2104,2106    90,Sweetmeats,2.50%,2.50%,5%
2105,2106    90,"Namkeens, † bhujia, †    mixture, † chabena † and †    similar † edible    preparations † in † ready †    for † consumption † form, other than those pre-packaged and    labelled.",2.50%,2.50%,5%
2106,2201    90 10,Ice    and snow,2.50%,2.50%,5%
2107,2207,Ethyl    alcohol supplied to Oil Marketing Companies or Petroleum refineries for    blending with motor spirit (petrol),2.50%,2.50%,5%
2108,2301,"Flours,    meals and pellets, of meat or meat offal, of fish or
      of † crustaceans, † molluscs †    or † other † aquatic †    invertebrates, unfit for human consumption; greaves",2.50%,2.50%,5%
2109,2302,"Bran,    sharps and other residues, whether or not in the form of pellets, derived    from the sifting, milling or other working of cereals or of leguminous plants    [other than aquatic feed including shrimp feed and prawn feed, poultry feed    and cattle feed, including grass, hay and straw, supplement and additives,    husk of pulses including chilka, concentrates including chuni or churi,    khanda, wheat bran, de-oiled cake",2.50%,2.50%,5%
2110,2302,Rice    bran (other than de-oiled rice bran),2.50%,2.50%,5%
2111,2303,"Residues    of starch manufacture and similar residues, beet-
      pulp, † † bagasse † † and † †    other † † waste † of †    sugar † † manufacture,brewing † or †    distilling † dregs † and †    waste, † whether † or †    not † in
      the form of pellets",2.50%,2.50%,5%
2112,2304,"Oil-cake † and †    other † solid † residues, †    whether † or not † ground or in the † form of pellets, resulting † from the extraction of
      soyabean oil",2.50%,2.50%,5%
2113,2305,"Oil-cake † and †    other † solid † residues, †    whether † or not † ground
      or in the † form of pellets,    resulting † from the extraction of    ground-nut oil.",2.50%,2.50%,5%
2114,2306,"Oil-cake    and other solid residues, whether or not ground or in the † form of pellets, resulting † from the extraction of vegetable † or †    microbial † fats † or †    oils, † other † than †    those † of heading 2304 or 2305    other than cottonseed oil cake",2.50%,2.50%,5%
2115,2307,Wine    lees; argol,2.50%,2.50%,5%
2116,2401,Tobacco    leaves,2.50%,2.50%,5%
2117,2502,Unroasted    iron pyrites.,2.50%,2.50%,5%
2118,2503,"Sulphur † † of † †    all † † kinds, † † other † †    than † † sublimed † † sulphur,
      precipitated sulphur and colloidal sulphur",2.50%,2.50%,5%
2119,2504,Natural    graphite.,2.50%,2.50%,5%
2120,2505,"Natural    sands of all kinds, whether or not coloured, other
      than metal bearing sands of Chapter 26.",2.50%,2.50%,5%
2121,2506,"Quartz    (other than natural sands); quartzite, whether or not roughly trimmed † or †    merely † cut, † by sawing †    or † otherwise, into † blocks †    or † slabs † of †    a † rectangular † (including †    square)
      shape.",2.50%,2.50%,5%
2122,2507,"Kaolin    and other kaolinic clays, whether or not calcined.",2.50%,2.50%,5%
2123,2508,"Other † clays †    (not † including † expanded †    clays † of † heading
      6806), andalusite, kyanite and sillimanite, †    whether or not calcined; mullite; chamotte or dinas earths.",2.50%,2.50%,5%
2124,2509,Chalk.,2.50%,2.50%,5%
2125,2510,"Natural † calcium †    phosphates, † natural † aluminium †    calcium
      phosphates and phosphatic chalk.",2.50%,2.50%,5%
2126,2511,"Natural † † † barium † † †    sulphate † † † (barytes); † † † natural † † †    barium
      carbonate (witherite), † whether or    not † calcined, other than barium oxide    of heading 2816.",2.50%,2.50%,5%
2127,2512,"Siliceous † fossil †    meals † (for † example, †    kieselguhr, † tripolite and    diatomite) and similar siliceous earths, whether or not
      calcined, of an apparent specific gravity of 1 or less.",2.50%,2.50%,5%
2128,2513,"Pumice † stone; †    emery; † natural † corundum, †    natural † garnet
      and other natural abrasives, whether or not heat-treated.",2.50%,2.50%,5%
2129,2514,"Slate, † whether †    or † not † roughly trimmed † or †    merely † cut, † by sawing or otherwise, into blocks or    slabs of a rectangular
      (including square) shape.",2.50%,2.50%,5%
2130,"[2515
      (Except 2515 12 10,
      2515 12 20,
      2515 12 90)
      or 6802","Ecaussine † and †    other † calcareous † monumental †    or † building stone † alabaster †    [other † than † marble †    and † travertine], † other than mirror polished stone which is    ready to use",2.50%,2.50%,5%
2131,2515    11 00,"Marble    and travertine, crude or roughly trimmed",2.50%,2.50%,5%
2132,"2516
      [Except 2516 11 00,
      2516 12 00]","Porphyry, † † basalt, † †    sandstone † † and † other † †    monumental † or building stone,    whether or not roughly trimmed or merely
      cut, † by † sawing †    or † otherwise, † into †    blocks † or † slabs †    of † a rectangular (including    square) shape.",2.50%,2.50%,5%
2133,2516    11 00,Granite    crude or roughly trimmed,2.50%,2.50%,5%
2134,2517,"Pebbles, † † gravel, † †    broken † † or † † crushed † †    stone, † † of † † a † †    kind commonly † † † used † † † for † † †    concrete † † † aggregates, † † † for † † †    road metalling or for railway or other ballast, shingle and flint,    whether † or † not †    heat-treated; † macadam † of †    slag, † dross † or similar †    industrial waste, whether † or    not † incorporating † the materials † cited †    in † the † first †    part † of † the †    heading; † tarred macadam; † † grenules † †    cheeping † † and † † powder † †    of † † stones
      heading 2515 or 2516 whether or not heat treated.",2.50%,2.50%,5%
2135,2518,"Dolomite,    whether or not calcined or sintered, including dolomite † roughly †    trimmed † or † merely †    cut, † by † sawing †    or otherwise, into blocks or slabs of a rectangular (including square) † † shape; † †    2518 † † 10 † † dolomite, † †    Not † † calcined † † or sintered",2.50%,2.50%,5%
2136,2519,"Natural † † † † magnesium † † † † carbonate † † † † (magnesite); † † † † fused magnesia; † dead-burned †    (sintered) † magnesia, † whether †    or not † containing † small †    quantities † of † other †    oxides † added
      before † sintering; † other †    magnesium oxide, † whether † or †    not pure.",2.50%,2.50%,5%
2137,2520,"Gypsum; † † anhydrite; † † plasters † †    (consisting † † of † † calcined gypsum † or †    calcium † sulphate) † whether †    or † not † coloured,
      with † † or † † without † †    small † † quantities † † of † †    accelerators † † or retarders.",2.50%,2.50%,5%
2138,2521,"Limestone    flux; limestone and other calcareous stone, of a
      kind used for the manufacture of lime or cement.",2.50%,2.50%,5%
2139,2522,"Quicklime, † slaked †    lime † and † hydraulic †    lime, † other † than
      calcium oxide and hydroxide of heading 2825.",2.50%,2.50%,5%
2140,2524,Asbestos,2.50%,2.50%,5%
2141,2525,"Mica,    including splitting; mica waste.",2.50%,2.50%,5%
2142,2526,"Natural    steatite, whether or not roughly trimmed or merely cut, † by †    sawing † or † otherwise, †    into † blocks † or †    slabs † of † a rectangular (including square) shape;    talc.",2.50%,2.50%,5%
2143,2528,"Natural    borates † and † concentrates thereof (whether † or †    not calcined), but not including borates separated from natural brine;    natural boric acid containing not more than 85% of H3BO3 (claculated on dry    weight)",2.50%,2.50%,5%
2144,2529,"Feldspar; † † † leucite, † † † nepheline † † † and † † †    nepheline † † † syenite;
      fluorspar.",2.50%,2.50%,5%
2145,2530,Mineral    substances not elsewhere specified or included.,2.50%,2.50%,5%
2146,2611,Tungsten    ores and concentrates.,2.50%,2.50%,5%
2147,2612,Uranium    or thorium ores and concentrates.,2.50%,2.50%,5%
2148,2613,Molybdenum    ores and concentrates.,2.50%,2.50%,5%
2149,2614,Titanium    ores and concentrates.,2.50%,2.50%,5%
2150,2615,"Niobium, † † tantalum, † †    vanadium † † or † † zirconium † †    ores † † and
      concentrates.",2.50%,2.50%,5%
2151,2616,Precious    metal ores and concentrates.,2.50%,2.50%,5%
2152,2617,Other    ores and concentrates,2.50%,2.50%,5%
2153,2618,"Granulated    slag (slag sand) from the manufacture of iron
      or steel",2.50%,2.50%,5%
2154,2621,Fly    Ash,2.50%,2.50%,5%
2155,27,Bio-gas,2.50%,2.50%,5%
2156,2701,"Coal; † † † briquettes, † † † ovoids † † †    and † † † similar † † † solid † † †    fuels
      manufactured from coal",2.50%,2.50%,5%
2157,2702,"Lignite,    whether or not agglomerated, excluding jet",2.50%,2.50%,5%
2158,2703,"Peat    (including peat litter), whether or not agglomerated",2.50%,2.50%,5%
2159,2704,"Coke    and semi coke of coal, of lignite or of peat, whether or not agglomerated;    retort carbon",2.50%,2.50%,5%
2160,2705,"Coal    gas, water gas, producer gas and similar gases, other
      than petroleum gases and other gaseous hydrocarbons",2.50%,2.50%,5%
2161,2710,"(a)    kerosene oil PDS, (b) The following bunker fuels for use in ships or vessels,    namely,
      i. IFO 180 CST
      ii. IFO 380 CST † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † † †    iii.Marine Fuel 0.5% (FO)",2.50%,2.50%,5%
2162,"2711    12 00,
      2711 13 00,
      2711 19 † 00","Liquefied † † † Propane † † †    and † † † Butane † † † mixture, † † † Liquefied Propane, † † Liquefied † †    Butane † † and † † Liquefied † †    Petroleum Gases † † (LPG) † † for † †    supply  † †to † † non- domestic † exempted †    category † (NDEC) † customers †    by † the Indian † † Oil † †    Corporation † † Limited, † † Hindustan † †    petroleum Corporation †    Limited † † or † † Bharat † †    Petroleum † Corporation Limited.",2.50%,2.50%,5%
2163,"2711    12 00
      2711 13 00,
      2711 19 00","Liquefied † Propane †    and † Butane † mixture, †    Liquefied † Propane,    Liquefied † Butane † and †    Liquefied † Petroleum † Gases †    (LPG) † for supply to household    domestic consumers Äù;",2.50%,2.50%,5%
2164,28,Thorium    oxalate,2.50%,2.50%,5%
2165,28,Enriched    KBF4 (enriched potassium fluroborate),2.50%,2.50%,5%
2166,28,Enriched    elemental boron,2.50%,2.50%,5%
2167,28,Nuclear    fuel,2.50%,2.50%,5%
2168,2805    11,Nuclear    grade sodium,2.50%,2.50%,5%
2169,2809,Fertilizer    grade phosphoric acid,2.50%,2.50%,5%
2170,2845,Heavy    water and other nuclear fuels,2.50%,2.50%,5%
2171,2853,Compressed    air,2.50%,2.50%,5%
2172,30,Insulin,2.50%,2.50%,5%
2173,"3002,    3006",Animal    or Human Blood Vaccines,2.50%,2.50%,5%
2174,30,Diagnostic    kits for detection of all types of hepatitis,2.50%,2.50%,5%
2175,30,Desferrioxamine    injection or deferiprone,2.50%,2.50%,5%
2176,30,Cyclosporin,2.50%,2.50%,5%
2177,30,"Medicaments    (including veterinary medicaments) used †    in
      bio-chemic systems and not bearing a brand name",2.50%,2.50%,5%
2178,30,Oral    re-hydration salts,2.50%,2.50%,5%
2179,30    or any Chapter,"Drugs † or †    medicines † including † their †    salts † and † esters †    and
      diagnostic † test † kits, †    specified † in † List †    1 † appended † to †    this Schedule",2.50%,2.50%,5%
2180,30,"Formulations    manufactured from the bulk drugs specified
      in List 2 appended to this Schedule",2.50%,2.50%,5%
2181,30,"Medicaments    (including † those used † in Ayurvedic, † Unani, Siddha, † † † † † Homeopathic † † † † † or † † † † †    Bio-chemic † † † † † systems),    manufactured exclusively in accordance with the formulae described † in the authoritative † books specified † in the †    First Schedule † to † the †    Drugs † and † Cosmetics †    Act, † 1940 † (23 †    of 1940) † or † Homeopathic †    Pharmacopoeia † of † India †    or † the United † States of America † or †    the † United † Kingdom †    or † the German Homeopathic    Pharmacopoeia, as the case may be, and †    sold † under † the †    name † as † specified †    in † such † books †    or
      pharmacopoeia",2.50%,2.50%,5%
2182,3006,"Ostomy    appliances including pouch or flange, stoma adhesive paste, barrier cream,    irrigator kit, sleeves, belt, micro-pore tapes",2.50%,2.50%,5%
2183,3101,All † goods †    i.e. † animal † or †    vegetable † fertilisers † or †    organic fertilisers pre-packaged and labelled,2.50%,2.50%,5%
2184,3102,"Mineral † or †    chemical † fertilisers, † nitrogenous, † other †    than
      those which are clearly not to be used as fertilizers",2.50%,2.50%,5%
2185,3103,"Mineral † or †    chemical † fertilisers, † phosphatic, †    other † than
      those which are clearly not to be used as fertilizers",2.50%,2.50%,5%
2186,3104,"Mineral    or chemical fertilisers, † potassic,    other than those
      which are clearly not to be used as fertilizers",2.50%,2.50%,5%
2187,3105,"Mineral    or chemical fertilisers containing two or three of the † † † fertilising † † † elements † † † nitrogen, † † † phosphorus † † † and potassium; † † other † †    fertilisers; † † goods † † of † †    this † † Chapter † † in tablets or similar † forms or †    in packages of a † gross weight    not † exceeding † 10 †    kg; † other † than †    those † which † are †    clearly not to be used as fertilizers Äù;",2.50%,2.50%,5%
2188,32,"Wattle    extract, quebracho extract, chestnut extract",2.50%,2.50%,5%
2189,3202,Enzymatic    preparations for pre-tanning,2.50%,2.50%,5%
